ΚΩΔ.,Ονομα,2002,2003,2004,2005,2006,2007,2008,2009,2010,20011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
97,ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΚΟΜΟΤΗΝΗ),,,,,,,,,,,,12014.0,12422.0,13013.0,12491.0,11245.0,11052.0,9305,10600,9950,10728,9916
98,ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ (ΤΡΙΠΟΛΗ),,,,,,,,,,,,10732.0,11678.0,11851.0,12375.0,12347.0,11801.0,10373,10450,10511,11875,11650
99,ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ (ΛΑΜΙΑ),,,,,,,,,,,,10392.0,11676.0,11922.0,12206.0,12275.0,12437.0,11405,11870,11807,12950,13800
101,ΘΕΟΛΟΓΙΑΣ (ΑΘΗΝΑ),10893.0,11113.0,10626.0,16092.0,11316.0,12494.0,12360.0,12051.0,,11710.0,11535.0,11196.0,11584.0,11542.0,11515.0,11472.0,10675.0,8793,7400,8293,9290,9400
102,ΦΙΛΟΣΟΦΙΑΣ (ΠΑΤΡΑ),12691.0,12836.0,12260.0,15743.0,12701.0,14230.0,14733.0,14818.0,,13635.0,13387.0,13229.0,13395.0,12801.0,13092.0,13152.0,11989.0,10504,9925,9517,10220,8920
103,ΘΕΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),10734.0,11009.0,10541.0,16618.0,10981.0,12313.0,12068.0,12194.0,,11441.0,11527.0,10933.0,11346.0,11256.0,11275.0,11462.0,10536.0,8915,7375,8680,9100,9550
104,ΙΣΤΟΡΙΑΣ ΑΡΧΑΙΟΛΟΓΙΑΣ ΚΑΙ ΔΙΑΧΕΙΡΙΣΗΣ ΠΟΛΙΤΙΣΜΙΚΩΝ ΑΓΑΘΩΝ (ΚΑΛΑΜΑΤΑ),,,12128.0,16770.0,12975.0,14220.0,14467.0,14503.0,,13177.0,13036.0,13009.0,13453.0,12478.0,12934.0,13190.0,11868.0,10182,8625,9495,9450,9035
105,ΚΟΙΝΩΝΙΚΗΣ ΘΕΟΛΟΓΙΑΣ ΚΑΙ ΘΡΗΣΚΕΙΟΛΟΓΙΑΣ (ΑΘΗΝΑ),10705.0,10880.0,10378.0,15711.0,10881.0,12120.0,11911.0,11570.0,,,10924.0,10981.0,11508.0,11208.0,11131.0,11506.0,10748.0,9019,7750,8636,8930,9260
106,ΕΛΛΗΝΙΚΗΣ ΦΙΛΟΛΟΓΙΑΣ (ΚΟΜΟΤΗΝΗ),13393.0,13502.0,13187.0,15682.0,13923.0,15000.0,15482.0,15681.0,,14539.0,14276.0,14346.0,14388.0,13205.0,13593.0,13532.0,11900.0,10289,8300,8484,9144,9528
107,ΚΟΙΝΩΝΙΚΗΣ ΘΕΟΛΟΓΙΑΣ ΚΑΙ ΧΡΙΣΤΙΑΝΙΚΟΥ ΠΟΛΙΤΙΣΜΟΥ (ΘΕΣΣΑΛΟΝΙΚΗ),10351.0,10591.0,10075.0,15308.0,10433.0,11684.0,11530.0,11318.0,,10797.0,10424.0,10232.0,10787.0,10838.0,10726.0,10964.0,10282.0,8468,6950,8257,9055,9535
108,ΙΣΤΟΡΙΑΣ ΚΑΙ ΕΘΝΟΛΟΓΙΑΣ (ΚΟΜΟΤΗΝΗ),11826.0,12209.0,11962.0,15690.0,12643.0,13987.0,14297.0,14402.0,,12877.0,12723.0,12429.0,12565.0,12252.0,12787.0,12855.0,11453.0,9851,7725,8510,8620,8440
109,ΦΙΛΟΛΟΓΙΑΣ (ΑΘΗΝΑ),15896.0,15716.0,15230.0,17249.0,16214.0,17030.0,17645.0,17733.0,,17261.0,17781.0,17314.0,17525.0,16680.0,16372.0,16448.0,16267.0,14677,14550,12847,13526,13012
110,ΙΣΤΟΡΙΑΣ ΚΑΙ ΑΡΧΑΙΟΛΟΓΙΑΣ (ΑΘΗΝΑ),14265.0,14188.0,13533.0,17441.0,14443.0,15490.0,16117.0,16599.0,,16431.0,17074.0,16724.0,17122.0,16134.0,16000.0,16167.0,16231.0,15306,15150,14161,12422,12614
111,ΦΙΛΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),15535.0,15376.0,15107.0,17713.0,15887.0,16658.0,17464.0,17350.0,,17247.0,17745.0,17375.0,17409.0,16468.0,16380.0,16386.0,15863.0,14431,13525,12495,13620,13994
112,ΙΣΤΟΡΙΑΣ ΚΑΙ ΑΡΧΑΙΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),13762.0,,,17528.0,14119.0,15149.0,15902.0,16027.0,,15845.0,16524.0,16687.0,16754.0,15819.0,15851.0,15974.0,15853.0,14747,14450,13574,13625,14125
113,ΦΙΛΟΛΟΓΙΑΣ (ΙΩΑΝΝΙΝΑ),14065.0,,,15447.0,14467.0,15486.0,15976.0,16173.0,,15399.0,15861.0,15911.0,15913.0,14658.0,14895.0,14838.0,13644.0,11817,9825,9582,10096,10411
114,ΙΣΤΟΡΙΑΣ ΚΑΙ ΑΡΧΑΙΟΛΟΓΙΑΣ (ΙΩΑΝΝΙΝΑ),12684.0,13085.0,12573.0,15452.0,13378.0,14664.0,15010.0,15170.0,,13943.0,14234.0,14421.0,14948.0,13418.0,13851.0,14038.0,12707.0,11706,9525,9300,10276,10354
115,ΦΙΛΟΛΟΓΙΑΣ (ΡΕΘΥΜΝΟ),13734.0,13690.0,13148.0,15350.0,14262.0,15220.0,15607.0,15804.0,,14901.0,15114.0,15344.0,14865.0,13846.0,14166.0,14060.0,12540.0,10572,8525,8696,9118,9558
116,ΙΣΤΟΡΙΑΣ ΚΑΙ ΑΡΧΑΙΟΛΟΓΙΑΣ (ΡΕΘΥΜΝΟ),12563.0,12882.0,12387.0,15580.0,13135.0,14455.0,14676.0,14813.0,,13546.0,13402.0,13784.0,14102.0,13154.0,13501.0,13500.0,12359.0,10737,8750,10528,9125,9425
117,ΝΟΜΙΚΗΣ (ΑΘΗΝΑ),17935.0,18167.0,18061.0,18425.0,18152.0,18622.0,18978.0,18893.0,,18608.0,18879.0,18571.0,18714.0,18223.0,18229.0,18199.0,18219.0,18013,18050,18157,17950,18125
119,ΝΟΜΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),17524.0,17861.0,17721.0,18194.0,17922.0,18372.0,18797.0,18735.0,,18435.0,18715.0,18281.0,18615.0,18058.0,17938.0,17953.0,17965.0,17824,17825,17814,17150,17640
120,ΦΙΛΟΣΟΦΙΑΣ ΚΑΙ ΠΑΙΔΑΓΩΓΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),14179.0,14420.0,13912.0,18338.0,14791.0,15611.0,16222.0,16290.0,,16039.0,16432.0,16133.0,16172.0,15251.0,15380.0,15422.0,14748.0,13333,12800,12909,13420,12330
121,ΝΟΜΙΚΗΣ (ΚΟΜΟΤΗΝΗ),16597.0,16956.0,16773.0,17877.0,17287.0,17851.0,18243.0,18100.0,,17883.0,18276.0,17914.0,18303.0,17546.0,17409.0,17515.0,17465.0,17225,17250,17048,16500,16975
122,ΦΙΛΟΣΟΦΙΑΣ (ΙΩΑΝΝΙΝΑ),13313.0,,,16289.0,13814.0,14978.0,15361.0,15512.0,,14489.0,14821.0,14254.0,14377.0,13647.0,14059.0,14368.0,13319.0,9798,8650,8807,9619,9931
123,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΔΗΜΟΣΙΑΣ ΔΙΟΙΚΗΣΗΣ (ΑΘΗΝΑ),14292.0,14473.0,14004.0,18162.0,14606.0,15432.0,15962.0,15988.0,,15966.0,16395.0,16601.0,16994.0,16368.0,16357.0,16497.0,16658.0,16166,16475,15427,14520,14770
124,ΔΗΜΟΣΙΑΣ ΔΙΟΙΚΗΣΗΣ (ΑΘΗΝΑ),13774.0,15422.0,14895.0,18411.0,15084.0,15743.0,15476.0,15351.0,,14280.0,14677.0,14612.0,15006.0,14701.0,12334.0,14502.0,15117.0,14296,14375,13386,13150,13625
125,ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΙΣΤΟΡΙΑΣ (ΑΘΗΝΑ),13487.0,,,17625.0,13583.0,14599.0,15001.0,14883.0,,14624.0,15197.0,15324.0,15672.0,15343.0,15579.0,15862.0,15722.0,14682,15025,13240,12620,13120
126,ΚΟΙΝΩΝΙΟΛΟΓΙΑΣ (ΑΘΗΝΑ) - ΠΑΝΤΕΙΟ,12730.0,13091.0,12463.0,17499.0,13164.0,14194.0,14691.0,14826.0,,14692.0,15419.0,15531.0,15969.0,15170.0,15408.0,15683.0,15722.0,15163,15625,15532,14320,15010
127,ΑΓΓΛΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΑΘΗΝΑ),17916.0,17232.0,17268.0,20136.0,18203.0,18926.0,19519.0,20147.0,,19927.0,19709.0,20229.0,19964.0,19499.0,19326.0,19483.0,19708.0,18633,18385,17832,17635,18320
128,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΑΘΗΝΑ),14423.0,16205.0,16717.0,18951.0,17678.0,18197.0,18696.0,18856.0,,17806.0,17731.0,16609.0,16860.0,16075.0,14670.0,14915.0,16059.0,15732,16000,16161,15750,16225
